candidate_id,parent_candidate_id,mechanism_family,primary_horizon,validation_outcome,anchor_comparator,primary_mean_ic,primary_ic_ir,primary_positive_ic_rate,mean_ic_delta_vs_anchor,ic_ir_delta_vs_anchor,positive_ic_rate_delta_vs_anchor,recent_252_primary_mean_ic,second_half_primary_mean_ic,active_coverage_ratio,mean_rank_turnover_proxy,contamination_review_status,production_status,registration_recommendation,lifecycle_evidence_refs
vov_03_ref_strict_chop,vov_03,OHLCV Volatility-of-Volatility / strict chop exhaustion,h10,VALIDATION_PASS,vov_03_ref_anchor,0.012030,0.102764,0.549903,0.003826,0.028661,0.002907,0.025962,0.012521,0.190024,0.051569,contamination-review-pending,not-production,REGISTER_RECOMMENDED,validation_execution_note;validation_results_review;refinement_governance_decision;bounded_refinement_master_state_update;validation_artifact_root
vov_01_ref_smoothed_calm,vov_01,OHLCV Volatility-of-Volatility / smoothed calm after VoV dislocation,h20,VALIDATION_PASS,vov_01_ref_anchor,0.011976,0.107079,0.540303,0.001571,0.013882,0.004920,0.046586,0.012959,0.261458,0.047727,contamination-review-pending,not-production,REGISTER_RECOMMENDED,validation_execution_note;validation_results_review;refinement_governance_decision;bounded_refinement_master_state_update;validation_artifact_root
